ID;SMV;Sex Count
0;4;0
1;3;0
2;1;0
3;10;2
4;5;0
5;5;0
6;4;0
7;8;1
8;3;0
9;3;0
10;9;0
11;7;0
12;8;2
13;4;0
14;8;1
15;3;0
16;10;7
17;9;3
18;1;0
19;6;0
20;2;0
21;10;2
22;4;0
23;6;1
24;10;2
25;9;3
26;6;0
27;2;0
28;10;6
29;5;0
30;2;0
31;6;0
32;3;0
33;5;0
34;9;2
35;6;0
36;8;3
37;10;3
38;3;0
39;8;2
40;3;0
41;7;0
42;6;0
43;4;0
44;9;4
45;9;4
46;1;0
47;8;1
48;4;0
49;3;0
50;5;0
51;3;0
52;4;0
53;7;0
54;2;0
55;4;1
56;9;5
57;5;0
58;1;0
59;7;3
60;10;5
61;2;0
62;9;3
63;8;2
64;1;0
65;3;0
66;4;0
67;4;0
68;6;1
69;3;0
70;6;1
71;1;0
72;6;0
73;4;0
74;4;0
75;6;0
76;5;0
77;1;0
78;8;3
79;1;0
80;8;1
81;8;1
82;8;2
83;8;0
84;10;2
85;10;4
86;3;0
87;7;0
88;4;0
89;6;0
90;7;1
91;3;0
92;9;1
93;7;2
94;9;4
95;1;0
96;9;2
97;8;0
98;3;0
99;6;1
100;5;1
101;8;4
102;3;0
103;1;0
104;8;0
105;4;0
106;7;2
107;10;3
108;4;0
109;6;1
110;10;3
111;8;0
112;8;0
113;1;0
114;9;2
115;2;0
116;5;0
117;1;0
118;9;2
119;2;0
120;1;0
121;8;0
122;10;3
123;1;0
124;6;0
125;3;0
126;3;0
127;10;2
128;6;0
129;3;0
130;7;0
131;7;1
132;9;0
133;2;0
134;6;1
135;1;0
136;6;0
137;7;1
138;10;2
139;6;2
140;4;0
141;3;0
142;3;0
143;8;2
144;6;0
145;10;6
146;6;0
147;9;3
148;8;2
149;7;1
150;6;0
151;8;0
152;10;4
153;2;0
154;6;0
155;8;1
156;8;3
157;3;0
158;6;0
159;5;1
160;2;0
161;8;0
162;5;0
163;1;0
164;10;5
165;4;0
166;10;5
167;7;3
168;5;1
169;9;3
170;7;0
171;8;6
172;2;0
173;3;0
174;9;4
175;8;1
176;6;0
177;3;0
178;5;0
179;7;0
180;8;2
181;5;0
182;2;0
183;9;2
184;7;0
185;10;7
186;7;0
187;8;0
188;7;1
189;9;1
190;3;0
191;4;0
192;2;0
193;6;2
194;5;0
195;6;1
196;9;1
197;2;0
198;9;6
199;3;1
200;1;0
201;10;4
202;5;1
203;10;2
204;1;0
205;8;1
206;7;0
207;8;1
208;4;0
209;8;0
210;3;0
211;6;1
212;8;2
213;9;2
214;8;1
215;8;0
216;6;0
217;6;0
218;4;0
219;10;4
220;7;1
221;2;0
222;1;0
223;6;0
224;7;1
225;4;0
226;7;1
227;6;2
228;8;1
229;3;0
230;10;3
231;4;0
232;4;0
233;3;0
234;7;1
235;9;4
236;10;7
237;3;0
238;9;4
239;9;2
240;3;0
241;9;2
242;4;0
243;9;4
244;6;0
245;7;1
246;6;2
247;3;0
248;8;2
249;8;2
250;1;0
251;3;1
252;8;2
253;9;3
254;6;1
255;9;2
256;9;3
257;9;2
258;3;0
259;7;0
260;2;0
261;1;0
262;1;0
263;2;0
264;8;0
265;10;5
266;2;0
267;6;0
268;3;0
269;10;1
270;8;0
271;4;0
272;8;1
273;5;0
274;7;0
275;8;7
276;8;0
277;2;0
278;10;6
279;10;4
280;8;2
281;4;0
282;9;2
283;1;0
284;2;0
285;8;2
286;6;1
287;6;1
288;7;3
289;8;1
290;10;3
291;2;0
292;1;0
293;2;0
294;8;1
295;3;0
296;9;1
297;3;0
298;1;0
299;7;1
300;5;0
301;1;0
302;1;0
303;8;4
304;10;5
305;8;2
306;5;0
307;3;0
308;2;0
309;8;3
310;1;0
311;8;2
312;9;3
313;3;0
314;10;4
315;9;1
316;3;0
317;10;4
318;10;7
319;1;0
320;4;0
321;7;2
322;9;0
323;6;0
324;1;0
325;6;0
326;4;0
327;7;0
328;8;0
329;5;0
330;10;5
331;6;0
332;2;0
333;4;0
334;6;1
335;7;0
336;4;0
337;1;0
338;1;0
339;5;1
340;3;0
341;3;0
342;5;0
343;9;2
344;8;2
345;3;0
346;4;0
347;8;2
348;2;0
349;9;2
350;1;0
351;9;3
352;4;0
353;1;0
354;4;0
355;9;4
356;2;0
357;6;0
358;8;2
359;5;0
360;5;0
361;9;3
362;6;0
363;7;1
364;9;2
365;6;1
366;6;0
367;6;0
368;8;2
369;3;0
370;6;0
371;3;0
372;10;2
373;6;0
374;8;2
375;1;0
376;3;0
377;1;0
378;9;1
379;9;3
380;3;0
381;6;0
382;5;0
383;9;2
384;5;0
385;1;0
386;2;0
387;1;0
388;10;2
389;7;2
390;6;1
391;9;1
392;3;0
393;7;0
394;1;0
395;5;2
396;8;1
397;8;5
398;1;0
399;2;0
400;7;1
401;9;2
402;10;5
403;9;1
404;4;0
405;8;1
406;10;3
407;9;2
408;3;0
409;3;0
410;7;1
411;2;0
412;8;0
413;10;7
414;3;0
415;9;1
416;5;0
417;7;2
418;3;1
419;9;2
420;4;0
421;5;0
422;6;2
423;2;0
424;8;0
425;8;2
426;10;3
427;4;0
428;5;0
429;4;0
430;4;0
431;5;0
432;1;0
433;7;1
434;3;0
435;4;0
436;6;0
437;6;1
438;5;1
439;7;1
440;1;0
441;4;0
442;9;2
443;8;0
444;10;2
445;5;0
446;1;0
447;4;0
448;4;0
449;2;0
450;1;0
451;1;0
452;5;0
453;2;0
454;9;0
455;2;0
456;4;0
457;9;3
458;2;0
459;7;1
460;9;1
461;7;1
462;4;0
463;9;1
464;10;6
465;2;0
466;1;0
467;1;0
468;8;2
469;9;0
470;4;0
471;9;2
472;2;0
473;6;1
474;8;3
475;10;4
476;7;0
477;9;3
478;2;0
479;4;0
480;7;3
481;6;0
482;10;4
483;4;1
484;4;0
485;3;0
486;1;0
487;9;2
488;9;4
489;1;0
490;1;0
491;7;2
492;5;0
493;9;0
494;9;6
495;5;0
496;1;0
497;10;5
498;8;1
499;8;2
500;4;0
501;1;0
502;7;2
503;6;0
504;9;0
505;2;0
506;10;2
507;10;2
508;5;0
509;9;1
510;5;0
511;6;1
512;7;1
513;8;1
514;1;0
515;3;0
516;7;0
517;10;1
518;6;0
519;7;0
520;2;0
521;3;0
522;3;0
523;7;2
524;9;1
525;7;0
526;4;0
527;4;0
528;8;2
529;3;0
530;10;2
531;7;2
532;1;0
533;5;0
534;1;0
535;6;0
536;10;3
537;5;0
538;6;0
539;2;0
540;4;1
541;2;0
542;4;0
543;10;2
544;7;0
545;6;1
546;1;0
547;8;2
548;8;2
549;6;0
550;9;3
551;1;0
552;5;0
553;2;0
554;6;1
555;1;0
556;8;0
557;1;0
558;8;1
559;3;0
560;8;3
561;6;1
562;2;0
563;2;0
564;9;3
565;9;1
566;5;0
567;3;0
568;7;2
569;5;1
570;3;0
571;3;0
572;5;0
573;4;1
574;4;0
575;1;0
576;9;3
577;3;0
578;10;5
579;3;0
580;6;1
581;7;1
582;6;0
583;3;0
584;5;1
585;9;2
586;3;0
587;9;3
588;9;3
589;10;4
590;9;6
591;10;3
592;8;0
593;3;0
594;4;0
595;8;0
596;10;6
597;2;0
598;2;0
599;8;0
600;1;0
601;9;2
602;1;0
603;4;0
604;3;0
605;6;0
606;6;0
607;1;0
608;9;5
