0;<6. 1. 9>;2;2;5637;62131;;;;;
1;<7. 1. 9>;0;0;;;;;;;
2;<4. 1. 5>;0;0;;;;;;;
3;<9. 1. 5>;0;0;;;;;;;
4;<8. 1. 1>;2;2;49146;74394;;;;;
5;<6. 1. 4>;1;1;45206;;;;;;
6;<4. 4. 2>;1;1;69978;;;;;;
7;<2. 1. 1>;0;0;;;;;;;
8;<5. 1. 6>;2;2;11648;80319;;;;;
9;<5. 4. 4>;0;0;;;;;;;
10;<6. 1. 6>;0;0;;;;;;;
11;<4. 1. 2>;3;3;23532;45922;76267;;;;
12;<6. 1. 3>;3;3;42547;72287;79951;;;;
13;<4. 2. 6>;1;1;29053;;;;;;
14;<7. 2. 2>;1;1;26723;;;;;;
15;<7. 1. 6>;1;1;47483;;;;;;
16;<8. 3. 4>;0;0;;;;;;;
17;<6. 4. 2>;1;1;35367;;;;;;
18;<4. 4. 3>;1;1;20635;;;;;;
19;<3. 2. 1>;1;1;59549;;;;;;
20;<8. 2. 4>;1;1;28894;;;;;;
21;<6. 5. 1>;0;0;;;;;;;
22;<6. 3. 3>;1;1;96480;;;;;;
23;<6. 2. 4>;1;1;78229;;;;;;
24;<4. 3. 7>;1;1;78637;;;;;;
25;<7. 2. 4>;2;2;44524;46189;;;;;
26;<6. 1. 5>;2;2;22887;76055;;;;;
27;<5. 1. 1>;1;1;92247;;;;;;
28;<6. 4. 5>;2;2;28379;94013;;;;;
29;<7. 1. 7>;0;0;;;;;;;
30;<6. 2. 1>;1;1;281;;;;;;
31;<6. 2. 5>;3;3;55829;75122;82333;;;;
32;<4. 2. 8>;0;0;;;;;;;
33;<6. 2. 1>;2;2;42892;99920;;;;;
34;<5. 3. 7>;0;0;;;;;;;
35;<4. 2. 5>;1;1;89168;;;;;;
36;<5. 3. 6>;1;1;2520;;;;;;
37;<6. 4. 5>;3;3;18486;85690;96180;;;;
38;<6. 1. 6>;1;1;95027;;;;;;
39;<4. 1. 5>;0;0;;;;;;;
40;<5. 3. 6>;1;1;78596;;;;;;
41;<7. 2. 8>;1;1;79720;;;;;;
42;<7. 1. 2>;0;0;;;;;;;
43;<4. 3. 5>;2;2;29058;53031;;;;;
44;<6. 4. 1>;2;2;21981;97883;;;;;
45;<4. 1. 1>;1;1;23146;;;;;;
46;<6. 1. 5>;0;0;;;;;;;
47;<7. 1. 1>;2;2;30911;33115;;;;;
48;<4. 2. 7>;3;3;43307;68627;93611;;;;
49;<7. 2. 9>;1;1;75608;;;;;;
50;<4. 1. 4>;0;0;;;;;;;
51;<5. 4. 5>;1;1;87246;;;;;;
52;<5. 3. 1>;3;3;23491;36441;43337;;;;
53;<3. 5. 1>;0;0;;;;;;;
54;<6. 1. 2>;3;3;809;11320;90056;;;;
55;<7. 4. 2>;1;1;40590;;;;;;
56;<6. 2. 6>;1;1;80197;;;;;;
57;<6. 1. 2>;2;2;1037;73801;;;;;
58;<4. 3. 1>;2;2;72635;96570;;;;;
59;<5. 2. 4>;1;1;5377;;;;;;
60;<3. 1. 2>;1;1;22695;;;;;;
61;<5. 1. 1>;2;2;36518;87389;;;;;
62;<5. 3. 1>;1;1;6850;;;;;;
63;<5. 3. 1>;2;2;48613;71204;;;;;
64;<8. 1. 1>;1;1;43014;;;;;;
65;<6. 1. 1>;0;0;;;;;;;
66;<5. 1. 1>;1;1;4576;;;;;;
67;<7. 5. 1>;1;1;79299;;;;;;
68;<6. 3. 5>;2;2;40939;66996;;;;;
69;<6. 3. 7>;1;1;95479;;;;;;
70;<6. 1. 1>;0;0;;;;;;;
71;<6. 2. 2>;1;1;90279;;;;;;
72;<8. 2. 1>;1;1;3229;;;;;;
73;<6. 2. 4>;2;2;22109;89167;;;;;
74;<4. 1. 1>;2;2;51357;76172;;;;;
75;<7. 1. 2>;0;0;;;;;;;
76;<3. 1. 1>;0;0;;;;;;;
77;<4. 1. 1>;3;3;13908;73552;88633;;;;
78;<7. 3. 2>;2;2;57003;80605;;;;;
79;<5. 2. 2>;0;0;;;;;;;
80;<5. 4. 3>;0;0;;;;;;;
81;<6. 2. 1>;0;0;;;;;;;
82;<7. 3. 1>;2;2;5424;58522;;;;;
83;<4. 3. 8>;2;2;21505;85627;;;;;
84;<5. 1. 1>;2;2;26020;82586;;;;;
85;<4. 1. 9>;0;0;;;;;;;
86;<5. 2. 1>;1;1;89428;;;;;;
87;<4. 1. 5>;0;0;;;;;;;
88;<5. 3. 1>;1;1;53850;;;;;;
89;<6. 2. 4>;0;0;;;;;;;
90;<7. 2. 4>;0;0;;;;;;;
91;<7. 3. 3>;0;0;;;;;;;
92;<6. 1. 10>;0;0;;;;;;;
93;<3. 1. 1>;1;1;82927;;;;;;
94;<6. 1. 7>;0;0;;;;;;;
95;<2. 1. 1>;0;0;;;;;;;
96;<5. 4. 1>;1;1;51672;;;;;;
97;<6. 1. 2>;2;2;13010;77781;;;;;
98;<5. 1. 2>;0;0;;;;;;;
99;<3. 1. 2>;1;1;99839;;;;;;
100;<6. 2. 4>;3;3;41086;61241;92193;;;;
101;<6. 1. 1>;2;2;38128;94304;;;;;
102;<5. 3. 7>;1;1;43813;;;;;;
103;<5. 4. 6>;0;0;;;;;;;
104;<4. 1. 5>;2;2;2645;79924;;;;;
105;<9. 1. 3>;3;3;38299;46638;52631;;;;
106;<6. 1. 9>;0;0;;;;;;;
107;<4. 3. 2>;0;0;;;;;;;
108;<5. 2. 1>;2;2;27850;28000;;;;;
109;<4. 1. 3>;0;0;;;;;;;
110;<3. 3. 7>;2;2;18798;21293;;;;;
111;<4. 1. 1>;3;3;160;47033;52799;;;;
112;<6. 1. 6>;3;3;37717;65267;82829;;;;
113;<5. 2. 5>;0;0;;;;;;;
114;<6. 5. 4>;2;2;29600;93484;;;;;
115;<6. 3. 5>;3;3;26106;34866;47162;;;;
116;<5. 2. 3>;0;0;;;;;;;
117;<6. 1. 3>;1;1;37869;;;;;;
118;<4. 2. 4>;1;1;47300;;;;;;
119;<6. 3. 2>;1;1;16555;;;;;;
120;<4. 2. 8>;0;0;;;;;;;
121;<4. 1. 2>;0;0;;;;;;;
122;<5. 3. 1>;0;0;;;;;;;
123;<7. 3. 2>;1;1;82165;;;;;;
124;<6. 3. 7>;3;3;8184;24871;34703;;;;
125;<3. 3. 1>;2;2;3251;87592;;;;;
126;<7. 1. 5>;3;3;3026;48973;86799;;;;
127;<2. 5. 1>;0;0;;;;;;;
128;<6. 2. 2>;3;3;55648;61808;93978;;;;
129;<6. 1. 3>;0;0;;;;;;;
130;<5. 1. 4>;1;1;55342;;;;;;
131;<6. 1. 1>;0;0;;;;;;;
132;<5. 2. 9>;0;0;;;;;;;
133;<6. 4. 1>;2;2;78511;99063;;;;;
134;<5. 1. 1>;1;1;71019;;;;;;
135;<5. 2. 3>;0;0;;;;;;;
136;<2. 1. 7>;2;2;28589;87498;;;;;
137;<6. 3. 3>;0;0;;;;;;;
138;<6. 1. 10>;1;1;79391;;;;;;
139;<6. 1. 8>;1;1;30952;;;;;;
140;<5. 1. 7>;1;1;13827;;;;;;
141;<5. 2. 2>;1;1;5589;;;;;;
142;<6. 1. 6>;0;0;;;;;;;
143;<2. 1. 3>;5;5;4202;33692;33930;80512;96548;;
144;<7. 1. 1>;2;2;33940;53895;;;;;
145;<5. 1. 8>;2;2;10899;60200;;;;;
146;<6. 4. 2>;5;5;42562;77813;85036;97830;99275;;
147;<6. 2. 9>;1;1;96212;;;;;;
148;<6. 3. 8>;1;1;84768;;;;;;
149;<4. 1. 1>;0;0;;;;;;;
150;<5. 3. 4>;1;1;47849;;;;;;
151;<4. 4. 1>;1;1;50028;;;;;;
152;<5. 1. 1>;0;0;;;;;;;
153;<4. 3. 4>;0;0;;;;;;;
154;<5. 1. 7>;0;0;;;;;;;
155;<7. 1. 3>;1;1;9732;;;;;;
156;<5. 2. 4>;1;1;83799;;;;;;
157;<4. 1. 1>;0;0;;;;;;;
158;<7. 3. 1>;1;1;20770;;;;;;
159;<3. 2. 3>;1;1;42098;;;;;;
160;<5. 1. 5>;0;0;;;;;;;
161;<5. 1. 3>;2;2;28522;54527;;;;;
162;<5. 3. 8>;0;0;;;;;;;
163;<6. 3. 1>;0;0;;;;;;;
164;<2. 1. 6>;1;1;73725;;;;;;
165;<6. 4. 1>;0;0;;;;;;;
166;<5. 1. 9>;0;0;;;;;;;
167;<6. 2. 2>;0;0;;;;;;;
168;<4. 5. 5>;2;2;58049;60477;;;;;
169;<6. 3. 2>;2;2;43621;70697;;;;;
170;<3. 4. 4>;0;0;;;;;;;
171;<6. 1. 6>;1;1;38535;;;;;;
172;<5. 3. 1>;1;1;30559;;;;;;
173;<5. 3. 4>;2;2;5695;82859;;;;;
174;<4. 3. 1>;3;3;33816;50754;92741;;;;
175;<4. 3. 6>;0;0;;;;;;;
176;<4. 3. 2>;1;1;89120;;;;;;
177;<4. 2. 7>;2;2;9679;44662;;;;;
178;<5. 1. 4>;2;2;532;66657;;;;;
179;<7. 1. 2>;3;3;4799;72958;74220;;;;
