0;<5. 10. 8>;1;5693;6048;8947;9263;
1;<3. 4. 9>;0;1938;4078;6208;7216;
2;<10. 9. 8>;3;4458;4980;6453;7850;
3;<7. 2. 3>;0;3268;3586;7638;
4;<8. 5. 8>;0;5539;5777;7230;7452;
5;<5. 8. 4>;0;232;2164;5971;7860;
6;<8. 1. 7>;0;406;486;955;1660;1845;4480;5414;7949;9239;
7;<8. 8. 6>;1;605;4680;4897;6106;6336;
8;<9. 5. 4>;0;407;1562;4333;6009;7106;7898;8807;9272;
9;<10. 1. 7>;1;467;851;893;1503;3308;4278;4948;6338;6794;8472;
10;<2. 5. 2>;0;2649;3601;5245;8999;9147;
11;<1. 7. 1>;0;1246;1447;4224;4991;6002;8487;
12;<7. 3. 2>;0;17;415;2870;4601;7897;7901;8489;8798;9018;
13;<3. 1. 2>;0;383;1443;2683;3644;8258;
14;<10. 1. 9>;1;1780;4602;5506;5646;7378;7776;7784;
15;<4. 4. 10>;3;190;544;3427;3675;4724;4780;4883;5564;7827;8232;
16;<8. 3. 1>;0;400;4980;6595;6970;8000;8239;
17;<9. 5. 9>;1;2777;4085;5037;8919;
18;<5. 1. 1>;0;394;1884;3844;4072;4343;4958;7031;7978;9166;
19;<7. 3. 1>;0;105;991;1018;1977;2371;2693;3830;4156;4183;4980;6735;8173;8427;
20;<9. 2. 3>;0;3130;6003;8838;9029;9916;
21;<8. 1. 8>;1;145;399;1909;2833;3795;5508;5669;7163;9190;
22;<6. 10. 6>;2;3599;5383;6047;8312;8341;9252;
23;<4. 10. 2>;0;426;1694;2870;3327;3618;6185;9226;9945;
24;<1. 1. 4>;0;3258;3269;3595;6031;6633;9493;9515;9700;
25;<4. 6. 1>;0;1886;5954;8223;
26;<10. 4. 3>;0;4628;8004;
27;<3. 5. 3>;0;57;1272;2172;4156;4193;4967;5917;6009;7924;7939;9179;9291;9920;
28;<3. 2. 1>;0;149;322;338;3964;4150;4414;4895;6173;9268;9420;
29;<1. 5. 4>;0;1390;2884;4037;4851;6157;6832;7158;7174;9377;
30;<5. 6. 7>;0;4056;5116;9510;9687;
31;<6. 9. 1>;0;181;1410;5078;6749;7063;7111;7406;7903;9774;
32;<6. 1. 3>;0;4458;6400;7672;9955;
33;<5. 10. 6>;3;1045;1928;2648;3934;4141;4684;6050;6110;8127;
34;<10. 9. 9>;12;2787;2956;3138;3488;4585;5166;5554;5899;5923;5950;7580;7678;9789;
35;<10. 7. 9>;7;1297;1335;2358;2574;4517;5376;6982;7594;9603;
36;<3. 1. 1>;0;1895;2496;2622;2776;3628;5054;5064;6179;6290;7217;8684;9738;
37;<4. 2. 5>;0;3218;4309;4957;6048;8228;8615;
38;<6. 1. 2>;0;2923;5302;5844;9170;9325;9418;
39;<1. 2. 8>;0;121;975;1148;1498;1730;2168;4126;5058;6734;9115;
40;<4. 4. 7>;0;1686;2603;3232;4495;5975;8314;9743;
41;<10. 5. 6>;2;2086;4100;4579;6122;6402;7334;8840;
42;<7. 5. 8>;3;2095;3474;4832;5012;5014;5570;5745;5874;6477;7152;7329;
43;<6. 7. 4>;0;1994;4383;5079;6426;6906;6932;9152;
44;<9. 3. 10>;0;367;3877;3997;6161;8904;9651;
45;<9. 9. 7>;4;127;2769;2817;3682;5303;6986;8111;9295;
46;<7. 7. 1>;0;885;1055;1957;3391;5056;5836;7113;
47;<8. 1. 5>;0;325;5498;5699;6107;6379;8372;9855;
48;<7. 3. 5>;0;4632;4723;5213;5718;6355;
49;<3. 6. 3>;0;5992;8273;
50;<7. 1. 7>;0;1962;3363;4678;8892;
51;<1. 3. 8>;0;1229;2821;3280;3490;4316;4767;5525;
52;<3. 6. 2>;0;5458;6246;7869;
53;<6. 2. 4>;0;793;1712;5769;7216;
54;<1. 9. 9>;0;1150;5079;5315;5664;6581;6888;8694;
55;<10. 8. 8>;5;516;3245;5561;6556;8491;9884;
56;<1. 8. 5>;0;2819;5970;6146;6426;
57;<1. 1. 7>;0;1661;2363;3452;3616;6196;8194;8614;9443;
58;<10. 3. 3>;0;1001;1433;1590;1883;2321;2932;3141;3224;3448;4515;5180;6558;9198;
59;<4. 10. 4>;0;906;2570;5654;9267;
60;<8. 5. 5>;0;1713;2672;4805;4896;5400;5640;6044;6925;7397;9582;9954;
61;<5. 9. 8>;2;434;1633;3879;7615;
62;<8. 2. 8>;1;3977;6360;9669;
63;<5. 5. 1>;0;98;1452;1727;3390;6239;6908;7726;7867;
64;<9. 2. 10>;6;117;943;1349;1763;3834;5041;5204;9361;9992;
65;<7. 3. 7>;0;1467;2350;3408;3637;5659;5843;5855;5927;8960;9705;
66;<4. 6. 6>;0;1016;1243;1894;3762;3877;6375;6390;8413;9105;
67;<8. 7. 2>;0;258;591;2923;5789;8596;
68;<10. 5. 10>;4;611;1340;1355;3039;3849;4137;4344;5938;7961;
69;<8. 8. 7>;4;91;1876;2481;3334;3614;6805;7362;7650;8065;9646;
70;<9. 2. 4>;0;300;911;2672;4069;4085;5172;5345;6654;9144;9772;
71;<10. 5. 5>;2;76;1085;5213;5827;7030;7920;8318;9234;9644;
72;<5. 8. 9>;1;601;808;2118;
73;<9. 7. 8>;1;2159;
74;<8. 10. 4>;5;167;339;2565;2605;2612;3791;3841;4942;5577;7525;8181;8507;9143;9483;
75;<5. 8. 4>;0;957;4305;4621;6636;
76;<10. 6. 9>;6;2318;2680;6558;7153;7383;8233;8973;
