ID;LMS;Sex Count
0;<5. 1. 3>;0
1;<5. 1. 1>;0
2;<6. 3. 1>;0
3;<8. 2. 5>;0
4;<7. 4. 3>;0
5;<10. 4. 6>;0
6;<7. 6. 3>;0
7;<6. 2. 1>;0
8;<5. 1. 2>;0
9;<4. 3. 5>;0
10;<1. 0. 10>;0
11;<5. 7. 6>;0
12;<6. 1. 1>;0
13;<3. 4. 1>;0
14;<6. 3. 1>;0
15;<7. 2. 3>;0
16;<7. 3. 9>;0
17;<4. 3. 7>;0
18;<5. 1. 7>;0
19;<6. 5. 5>;0
20;<6. 3. 3>;0
21;<1. -1. 5>;0
22;<7. 3. 8>;0
23;<1. 0. 3>;0
24;<1. 0. 6>;0
25;<7. 4. 1>;0
26;<7. 1. 6>;0
27;<6. 3. 5>;0
28;<6. 2. 1>;0
29;<6. 2. 3>;0
30;<8. 5. 6>;0
31;<4. 3. 4>;0
32;<7. 3. 5>;0
33;<1. -1. 3>;0
34;<6. 1. 3>;0
35;<4. 2. 10>;0
36;<5. 2. 8>;0
37;<6. 1. 5>;0
38;<6. 1. 7>;0
39;<5. 4. 1>;0
40;<7. 3. 1>;0
41;<6. 2. 1>;0
42;<4. 6. 1>;0
43;<1. -2. 6>;0
44;<6. 2. 4>;0
45;<1. 0. 7>;0
46;<7. 3. 7>;0
47;<6. 1. 3>;0
48;<1. -1. 6>;0
49;<7. 1. 1>;0
50;<3. 5. 7>;0
51;<5. 3. 4>;0
52;<6. 3. 8>;0
53;<4. 2. 1>;0
54;<5. 1. 4>;0
55;<8. 3. 3>;0
56;<5. 3. 2>;0
57;<6. 1. 5>;0
58;<5. 3. 2>;0
59;<4. 3. 6>;0
60;<1. -1. 1>;0
61;<1. 0. 5>;0
62;<6. 1. 6>;0
63;<6. 3. 6>;0
64;<6. 2. 5>;0
65;<4. 2. 1>;0
66;<5. 4. 5>;0
67;<1. -1. 6>;0
68;<4. 1. 1>;0
69;<6. 4. 7>;0
70;<1. 0. 1>;0
71;<1. -1. 3>;0
72;<1. 0. 5>;0
73;<5. 1. 4>;0
74;<1. 0. 1>;0
75;<5. 1. 7>;0
76;<5. 1. 1>;0
77;<5. 4. 3>;0
78;<6. 2. 1>;0
79;<1. 0. 10>;0
80;<1. -2. 2>;0
81;<6. 1. 1>;0
82;<7. 1. 3>;0
83;<1. 0. 10>;0
84;<5. 1. 1>;0
85;<6. 1. 9>;0
86;<3. 3. 3>;0
87;<5. 4. 3>;0
88;<5. 3. 8>;0
89;<1. 0. 7>;0
90;<6. 1. 2>;0
91;<7. 3. 1>;0
92;<5. 3. 3>;0
93;<6. 2. 6>;0
94;<6. 1. 2>;0
95;<8. 5. 6>;0
96;<6. 6. 6>;0
97;<1. 0. 2>;0
98;<1. 0. 1>;0
99;<1. 0. 4>;0
100;<1. 0. 1>;0
101;<6. 1. 7>;0
102;<5. 2. 7>;0
103;<3. 3. 1>;0
104;<1. -2. 5>;0
105;<1. -1. 5>;0
106;<1. 0. 1>;0
107;<7. 3. 2>;0
108;<1. 0. 1>;0
109;<4. 1. 1>;0
110;<1. -1. 7>;0
111;<1. -1. 2>;0
112;<1. -1. 1>;0
113;<5. 3. 1>;0
114;<5. 3. 2>;0
115;<6. 1. 3>;0
116;<5. 3. 1>;0
117;<4. 1. 4>;0
118;<3. 1. 1>;0
119;<6. 3. 1>;0
120;<1. 0. 2>;0
121;<6. 2. 1>;0
122;<1. 0. 1>;0
123;<5. 4. 1>;0
124;<7. 1. 2>;0
125;<6. 2. 3>;0
126;<2. 5. 2>;0
127;<5. 1. 4>;0
128;<6. 3. 4>;0
129;<5. 1. 10>;0
130;<6. 3. 2>;0
131;<1. -4. 5>;0
132;<2. 3. 6>;0
133;<5. 7. 2>;0
134;<6. 2. 5>;0
135;<5. 3. 5>;0
136;<6. 1. 2>;0
137;<4. 4. 7>;0
138;<7. 4. 1>;0
139;<2. 2. 2>;0
140;<4. 1. 1>;0
141;<5. 3. 1>;0
142;<7. 2. 2>;0
143;<5. 1. 3>;0
144;<4. 4. 3>;0
145;<1. -2. 1>;0
146;<6. 2. 4>;0
147;<4. 2. 2>;0
148;<4. 3. 2>;0
149;<6. 2. 10>;0
150;<5. 2. 2>;0
151;<1. -3. 6>;0
152;<1. 0. 6>;0
153;<1. -1. 3>;0
154;<6. 1. 5>;0
155;<6. 3. 1>;0
156;<6. 2. 7>;0
157;<7. 3. 7>;0
158;<8. 3. 1>;0
159;<6. 3. 1>;0
160;<3. 1. 1>;0
161;<1. 0. 1>;0
162;<3. 2. 2>;0
163;<1. 0. 7>;0
164;<5. 1. 2>;0
165;<1. -1. 8>;0
166;<6. 5. 7>;0
167;<7. 2. 1>;0
168;<4. 4. 2>;0
169;<6. 1. 2>;0
170;<5. 4. 2>;0
171;<6. 1. 3>;0
172;<7. 2. 2>;0
173;<1. 0. 6>;0
174;<1. -1. 1>;0
175;<3. 4. 3>;0
176;<3. 2. 1>;0
177;<1. 0. 5>;0
178;<6. 3. 6>;0
179;<6. 3. 1>;0
180;<6. 4. 1>;0
181;<1. 0. 8>;0
182;<5. 1. 4>;0
183;<5. 5. 2>;0
184;<1. 0. 1>;0
185;<7. 5. 4>;0
186;<6. 2. 4>;0
187;<1. 0. 2>;0
188;<6. 3. 1>;0
189;<4. 2. 6>;0
190;<1. -1. 2>;0
191;<4. 1. 1>;0
192;<1. 0. 5>;0
193;<5. 1. 3>;0
194;<1. 0. 2>;0
195;<5. 4. 1>;0
196;<9. 2. 5>;0
197;<4. 3. 3>;0
198;<4. 5. 3>;0
199;<5. 3. 1>;0
200;<5. 1. 4>;0
201;<7. 2. 5>;0
202;<5. 1. 5>;0
203;<6. 2. 4>;0
204;<1. 0. 1>;0
205;<8. 1. 2>;0
206;<6. 2. 1>;0
207;<6. 4. 2>;0
208;<7. 6. 4>;0
209;<4. 1. 3>;0
210;<3. 5. 4>;0
211;<5. 1. 8>;0
212;<5. 2. 3>;0
213;<7. 1. 1>;0
214;<8. 5. 1>;0
215;<1. -1. 4>;0
216;<1. 0. 3>;0
217;<1. -1. 3>;0
218;<1. 0. 4>;0
219;<1. -1. 4>;0
220;<6. 2. 6>;0
221;<5. 3. 1>;0
222;<7. 2. 2>;0
223;<1. 0. 9>;0
224;<1. 0. 7>;0
225;<4. 1. 2>;0
226;<6. 3. 10>;0
227;<1. 0. 5>;0
228;<7. 1. 1>;0
229;<7. 2. 4>;0
230;<6. 2. 5>;0
231;<9. 3. 3>;0
232;<7. 2. 10>;0
233;<6. 7. 5>;0
234;<8. 1. 4>;0
235;<1. 0. 8>;0
236;<4. 5. 5>;0
237;<6. 3. 2>;0
238;<4. 1. 4>;0
239;<7. 2. 1>;0
240;<5. 5. 1>;0
241;<1. -1. 1>;0
242;<3. 1. 2>;0
243;<6. 3. 4>;0
244;<5. 1. 1>;0
245;<1. 0. 6>;0
246;<1. 0. 3>;0
247;<5. 1. 1>;0
248;<6. 1. 2>;0
249;<1. -1. 2>;0
250;<4. 3. 4>;0
251;<8. 2. 3>;0
252;<4. 1. 2>;0
253;<3. 4. 4>;0
254;<5. 1. 3>;0
255;<1. -1. 6>;0
256;<6. 4. 5>;0
257;<1. 0. 6>;0
258;<7. 3. 4>;0
259;<5. 3. 6>;0
260;<1. 0. 3>;0
261;<6. 2. 1>;0
262;<5. 1. 4>;0
263;<1. 0. 1>;0
264;<1. -1. 1>;0
265;<7. 2. 2>;0
266;<1. -1. 1>;0
267;<1. -1. 1>;0
268;<5. 3. 5>;0
269;<6. 1. 2>;0
270;<4. 2. 3>;0
271;<4. 4. 5>;0
272;<7. 2. 1>;0
273;<5. 1. 4>;0
274;<6. 1. 8>;0
275;<6. 2. 6>;0
276;<6. 3. 2>;0
277;<6. 3. 5>;0
278;<6. 1. 1>;0
279;<7. 1. 3>;0
280;<7. 4. 2>;0
281;<6. 5. 7>;0
282;<4. 4. 3>;0
283;<1. -1. 5>;0
284;<6. 1. 1>;0
285;<3. 6. 4>;0
286;<4. 2. 1>;0
287;<6. 1. 6>;0
288;<6. 2. 1>;0
289;<5. 2. 10>;0
290;<5. 5. 5>;0
291;<1. 0. 7>;0
292;<4. 1. 4>;0
293;<6. 1. 1>;0
294;<5. 2. 9>;0
295;<1. 0. 1>;0
296;<5. 1. 1>;0
297;<6. 1. 1>;0
298;<6. 3. 1>;0
299;<4. 3. 6>;0
300;<7. 2. 6>;0
301;<4. 1. 2>;0
302;<1. -2. 4>;0
303;<5. 1. 4>;0
304;<7. 3. 5>;0
305;<7. 5. 5>;0
306;<1. 0. 6>;0
307;<1. -1. 1>;0
308;<5. 3. 6>;0
309;<6. 1. 7>;0
310;<8. 2. 6>;0
311;<6. 2. 1>;0
312;<6. 2. 3>;0
313;<5. 4. 1>;0
314;<4. 3. 1>;0
315;<5. 6. 3>;0
316;<2. 1. 3>;0
317;<5. 1. 7>;0
318;<1. -1. 1>;0
319;<1. -1. 9>;0
320;<1. 0. 6>;0
321;<5. 1. 2>;0
322;<6. 2. 9>;0
323;<1. 0. 1>;0
324;<5. 1. 3>;0
325;<4. 4. 1>;0
326;<5. 1. 7>;0
327;<1. 0. 1>;0
328;<6. 5. 1>;0
329;<1. -1. 6>;0
330;<8. 1. 1>;0
331;<5. 3. 3>;0
332;<6. 4. 4>;0
333;<5. 1. 4>;0
334;<6. 4. 3>;0
335;<5. 2. 4>;0
336;<5. 1. 1>;0
337;<8. 1. 6>;0
338;<7. 1. 7>;0
339;<7. 4. 1>;0
340;<6. 2. 4>;0
341;<6. 3. 2>;0
342;<6. 1. 3>;0
343;<3. 1. 10>;0
344;<1. 0. 5>;0
345;<7. 4. 8>;0
346;<5. 4. 4>;0
347;<9. 2. 2>;0
348;<1. -2. 1>;0
349;<5. 1. 3>;0
350;<1. -2. 2>;0
351;<6. 2. 2>;0
352;<7. 3. 1>;0
353;<6. 3. 1>;0
354;<5. 3. 7>;0
355;<1. 0. 1>;0
356;<8. 3. 1>;0
357;<7. 2. 2>;0
358;<7. 1. 3>;0
359;<5. 1. 3>;0
360;<6. 3. 1>;0
361;<1. 0. 2>;0
362;<6. 2. 10>;0
363;<1. 0. 1>;0
364;<5. 3. 1>;0
365;<5. 1. 4>;0
366;<5. 1. 3>;0
367;<1. 0. 1>;0
368;<4. 5. 1>;0
369;<4. 2. 2>;0
370;<1. -1. 4>;0
371;<4. 5. 5>;0
372;<6. 3. 1>;0
373;<4. 3. 1>;0
374;<5. 4. 2>;0
375;<4. 2. 7>;0
376;<6. 4. 1>;0
377;<5. 2. 10>;0
378;<5. 1. 6>;0
379;<5. 3. 3>;0
380;<1. -2. 9>;0
381;<5. 1. 6>;0
382;<4. 2. 1>;0
383;<1. 0. 7>;0
384;<5. 3. 2>;0
385;<4. 1. 2>;0
386;<5. 3. 3>;0
387;<5. 7. 1>;0
388;<7. 2. 1>;0
389;<5. 6. 2>;0
390;<1. -1. 3>;0
391;<3. 4. 3>;0
392;<4. 3. 1>;0
393;<4. 1. 3>;0
394;<1. -2. 2>;0
395;<6. 3. 2>;0
396;<4. 2. 3>;0
397;<6. 2. 1>;0
398;<6. 1. 1>;0
399;<6. 2. 1>;0
400;<1. -3. 5>;0
401;<6. 2. 4>;0
402;<5. 8. 9>;0
403;<5. 5. 4>;0
404;<6. 2. 6>;0
405;<1. 0. 4>;0
406;<8. 3. 5>;0
407;<4. 5. 3>;0
408;<1. -1. 1>;0
409;<7. 3. 3>;0
410;<1. -2. 1>;0
411;<6. 1. 10>;0
412;<6. 7. 5>;0
413;<8. 4. 4>;0
414;<7. 4. 2>;0
415;<4. 2. 2>;0
416;<7. 1. 3>;0
417;<5. 2. 1>;0
418;<1. 0. 6>;0
419;<4. 1. 4>;0
420;<7. 4. 1>;0
421;<1. 0. 1>;0
422;<7. 3. 1>;0
423;<6. 1. 4>;0
424;<5. 3. 7>;0
425;<8. 3. 4>;0
426;<6. 2. 3>;0
427;<4. 6. 1>;0
428;<5. 2. 1>;0
429;<6. 1. 7>;0
430;<9. 2. 4>;0
431;<6. 3. 5>;0
432;<6. 4. 6>;0
433;<1. -1. 3>;0
434;<1. 0. 8>;0
435;<8. 2. 2>;0
436;<1. -1. 1>;0
437;<5. 6. 1>;0
438;<5. 1. 3>;0
