ID;LMS;Sex Count
0;<2. 1. 2>;0
1;<6. 1. 7>;0
2;<7. 9. 4>;2
3;<4. 1. 5>;0
4;<4. 3. 7>;0
5;<9. 5. 7>;2
6;<10. 10. 8>;0
7;<6. 3. 6>;0
8;<1. 8. 4>;2
9;<8. 1. 7>;3
10;<4. 7. 10>;1
11;<1. 7. 9>;0
12;<1. 1. 10>;1
13;<8. 3. 6>;3
14;<10. 1. 10>;0
15;<6. 7. 2>;1
16;<1. 6. 10>;1
17;<10. 7. 8>;1
18;<4. 5. 4>;0
19;<7. 9. 7>;0
20;<5. 8. 3>;0
21;<7. 6. 5>;1
22;<4. 3. 8>;1
23;<2. 9. 9>;0
24;<7. 4. 1>;0
25;<10. 5. 9>;1
26;<9. 9. 7>;1
27;<7. 9. 3>;1
28;<10. 5. 1>;1
29;<3. 5. 4>;1
30;<8. 10. 8>;2
31;<10. 2. 6>;0
32;<5. 9. 6>;0
33;<1. 9. 4>;0
34;<5. 3. 1>;0
35;<10. 5. 7>;2
36;<3. 5. 4>;0
37;<6. 8. 9>;1
38;<1. 5. 8>;1
39;<9. 5. 4>;2
40;<4. 10. 6>;2
41;<4. 10. 9>;2
42;<6. 3. 2>;0
43;<10. 9. 3>;0
44;<10. 1. 7>;0
45;<9. 4. 6>;1
46;<6. 10. 6>;3
47;<3. 3. 5>;0
48;<1. 4. 8>;1
49;<10. 2. 5>;1
50;<9. 7. 8>;1
51;<10. 7. 1>;0
52;<8. 3. 4>;1
53;<10. 8. 3>;0
54;<8. 2. 3>;1
55;<6. 7. 5>;2
56;<7. 7. 9>;1
57;<10. 2. 7>;0
58;<9. 6. 7>;0
59;<6. 8. 4>;1
60;<6. 9. 8>;1
61;<1. 5. 5>;0
62;<10. 7. 4>;0
63;<2. 9. 3>;1
64;<9. 6. 8>;2
65;<3. 9. 2>;0
66;<2. 3. 3>;0
67;<2. 1. 7>;0
68;<1. 5. 8>;0
69;<9. 8. 5>;4
70;<9. 3. 4>;0
71;<7. 1. 5>;1
72;<6. 1. 2>;0
73;<4. 4. 1>;0
74;<5. 8. 10>;1
75;<8. 4. 3>;1
76;<5. 3. 10>;1
77;<7. 4. 7>;0
78;<9. 3. 8>;0
79;<3. 6. 2>;0
80;<8. 9. 7>;2
81;<1. 2. 1>;0
82;<5. 3. 6>;0
83;<1. 5. 4>;0
84;<8. 8. 4>;2
85;<5. 1. 2>;0
86;<2. 8. 8>;3
87;<3. 6. 4>;0
88;<4. 3. 9>;1
89;<4. 7. 10>;3
90;<2. 4. 7>;0
91;<8. 6. 10>;0
92;<3. 1. 5>;1
93;<8. 4. 8>;3
94;<2. 9. 9>;5
95;<2. 7. 8>;0
96;<8. 9. 4>;3
97;<6. 5. 5>;1
98;<1. 10. 4>;1
99;<7. 2. 1>;0
100;<5. 7. 9>;1
101;<5. 4. 9>;0
102;<4. 4. 3>;0
103;<7. 5. 1>;1
104;<8. 3. 9>;0
105;<9. 7. 3>;2
106;<7. 5. 4>;0
107;<9. 9. 7>;2
108;<2. 9. 2>;0
109;<1. 1. 7>;0
110;<7. 10. 2>;1
111;<1. 8. 10>;3
112;<5. 2. 6>;0
113;<9. 2. 5>;0
114;<4. 8. 9>;1
115;<10. 5. 10>;4
116;<1. 2. 6>;0
117;<10. 2. 5>;2
118;<8. 8. 3>;0
119;<1. 1. 8>;0
120;<8. 6. 3>;0
121;<10. 10. 10>;2
122;<6. 5. 9>;1
123;<7. 8. 6>;4
124;<2. 8. 7>;3
125;<7. 3. 4>;3
126;<9. 4. 9>;2
127;<7. 9. 2>;0
128;<9. 7. 6>;1
129;<2. 4. 7>;1
130;<2. 6. 10>;1
131;<4. 8. 5>;1
132;<9. 5. 3>;1
133;<7. 8. 2>;0
134;<10. 2. 4>;1
135;<4. 3. 7>;0
136;<9. 1. 5>;0
137;<10. 5. 10>;1
138;<8. 9. 10>;3
139;<6. 2. 3>;2
140;<3. 6. 3>;0
141;<8. 7. 8>;0
142;<8. 5. 6>;4
143;<4. 7. 9>;0
144;<10. 2. 4>;0
145;<9. 7. 2>;0
146;<2. 3. 2>;0
147;<8. 8. 6>;1
148;<10. 5. 5>;3
149;<6. 5. 4>;2
150;<8. 5. 7>;4
151;<5. 7. 6>;0
152;<5. 9. 4>;0
153;<2. 7. 4>;2
